Match,Innings,Date,M/Inns,Position,VS,Ground,How Dismissed,Runs,BF,SR,runs1,bf1,Avg,sr1
1,1,8/18/2008,1st,2,Sri Lanka,Rangiri DamBowledulla International Stadium,LBW,12,22,54.55,12,22,12,54.55
2,2,8/20/2008,2nd,2,Sri Lanka,Rangiri DamBowledulla International Stadium,Caught,37,67,55.22,49,89,24.5,55.06
3,3,8/24/2008,1st,1,Sri Lanka,R Premadasa Stadium,Run Out,25,38,65.79,74,127,24.67,58.27
4,4,8/27/2008,1st,1,Sri Lanka,R Premadasa Stadium,Bowled,54,66,81.82,128,193,32,66.32
5,5,8/29/2008,2nd,1,Sri Lanka,R Premadasa Stadium,LBW,31,46,67.39,159,239,31.8,66.53
6,6,9/14/2009,1st,7,Sri Lanka,R Premadasa Stadium,Not Out,2*,2,100,161,241,32.2,66.8
7,7,9/26/2009,2nd,4,Pakistan,SuperSport Park,Caught,16,24,66.67,177,265,29.5,66.79
8,DNB,9/28/2009,DNB,-,Australia,SuperSport Park,DNB,-,-,-,177,265,29.5,66.79
9,8,9/30/2009,2nd,4,West Indies,Wanderers Stadium,Not Out,79*,104,75.96,256,369,42.67,69.38
10,9,10/25/2009,2nd,4,Australia,Reliance Stadium,Caught,30,41,73.17,286,410,40.86,69.76
11,10,11/2/2009,2nd,3,Australia,PunjaBowled Cricket Association IS Bindra Stadium,Caught,10,16,62.5,296,426,37,69.48
12,11,12/15/2009,1st,7,Sri Lanka,Madhavrao Scindia Cricket Ground,Bowled,27,19,142.11,323,445,35.89,72.58
13,12,12/18/2009,1st,4,Sri Lanka,VidarBowledha Cricket Association Stadium,LBW,54,65,83.08,377,510,37.7,73.92
14,13,12/24/2009,2nd,4,Sri Lanka,Eden Gardens,Caught,107,114,93.86,484,624,44,77.56
15,DNB,12/27/2009,DNB,-,Sri Lanka,ARun Out Jaitley Stadium,DNB,-,-,-,484,624,44,77.56
16,14,1/5/2010,1st,3,Sri Lanka,Shere Bangla National Stadium,Caught,9,12,75,493,636,41.08,77.52
17,15,1/7/2010,2nd,3,Bangladesh,Shere Bangla National Stadium,Caught,91,102,89.22,584,738,44.92,79.13
18,16,1/10/2010,2nd,3,Sri Lanka,Shere Bangla National Stadium,Not Out,71*,68,104.41,655,806,50.38,81.27
19,17,1/11/2010,2nd,3,Bangladesh,Shere Bangla National Stadium,Not Out,102*,95,107.37,757,901,58.23,84.02
20,18,1/13/2010,1st,3,Sri Lanka,Shere Bangla National Stadium,Caught,2,8,25,759,909,54.21,83.5
21,19,2/21/2010,1st,5,South Africa,Sawai Mansingh Stadium,Caught,31,46,67.39,790,955,52.67,82.72
22,DNB,2/24/2010,1st,-,South Africa,Captain Roop Singh Stadium,DNB,-,-,-,790,955,52.67,82.72
23,20,2/27/2010,2nd,3,South Africa,Narendra Modi Stadium,Caught,57,71,80.28,847,1026,52.94,82.55
24,21,5/28/2010,1st,3,ZimBowledaBowledwe,Queens Sports CluBowled,Run Out,0,0,-,847,1026,49.82,82.55
25,22,5/30/2010,2nd,3,Sri Lanka,Queens Sports CluBowled,Caught,82,92,89.13,929,1118,51.61,83.09
26,23,6/3/2010,1st,3,ZimBowledaBowledwe,Harare Sports CluBowled,Caught,18,29,62.07,947,1147,49.84,82.56
27,24,6/5/2010,1st,3,Sri Lanka,Harare Sports CluBowled,Caught,68,95,71.58,1015,1242,50.75,81.72
28,25,6/16/2010,2nd,3,Bangladesh,Rangiri DamBowledulla International Stadium,Stump,11,22,50,1026,1264,48.86,81.17
29,26,6/19/2010,2nd,3,Pakistan,Rangiri DamBowledulla International Stadium,Bowled,18,27,66.67,1044,1291,47.45,80.87
30,27,6/22/2010,1st,3,Sri Lanka,Rangiri DamBowledulla International Stadium,Caught,10,14,71.43,1054,1305,45.83,80.77
31,28,6/24/2010,1st,3,Sri Lanka,Rangiri DamBowledulla International Stadium,Caught,28,34,82.35,1082,1339,45.08,80.81
32,29,8/16/2010,2nd,3,Sri Lanka,Rangiri DamBowledulla International Stadium,Caught,0,3,0,1082,1342,43.28,80.63
33,30,8/25/2010,1st,3,New Zealand,Rangiri DamBowledulla International Stadium,Caught,8,16,50,1090,1358,41.92,80.27
34,31,8/28/2010,2nd,3,Sri Lanka,Rangiri DamBowledulla International Stadium,Caught,37,57,64.91,1127,1415,41.74,79.65
35,32,10/20/2010,2nd,3,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,Caught,118,121,97.52,1245,1536,44.46,81.05
36,33,11/28/2010,1st,3,New Zealand,Nehru Stadium (Guwahati),Caught,105,104,100.96,1350,1640,46.55,82.32
37,34,12/1/2010,2nd,3,New Zealand,Sawai Mansingh Stadium,Caught,64,73,87.67,1414,1713,47.13,82.55
38,35,12/4/2010,2nd,3,New Zealand,Reliance Stadium,Not Out,63*,70,90,1477,1783,49.23,82.84
39,36,12/7/2010,2nd,3,New Zealand,M Chinnaswamy Stadium,Caught,0,2,0,1477,1785,47.65,82.75
40,37,12/10/2010,2nd,3,New Zealand,MA ChidamBowledaram Stadium,Caught,2,8,25,1479,1793,46.22,82.49
41,38,1/12/2011,2nd,3,South Africa,Kingsmead,Caught,54,70,77.14,1533,1863,46.45,82.29
42,39,1/15/2011,1st,3,South Africa,Wanderers Stadium,Run Out,22,34,64.71,1555,1897,45.74,81.97
43,40,1/18/2011,2nd,3,South Africa,Newlands,Caught,28,41,68.29,1583,1938,45.23,81.68
44,41,1/21/2011,2nd,3,South Africa,St George's Park,Not Out,87*,92,94.57,1670,2030,47.71,82.27
45,42,1/23/2011,2nd,3,South Africa,SuperSport Park,Caught,2,6,33.33,1672,2036,46.44,82.12
46,43,2/19/2011,1st,4,Bangladesh,Shere Bangla National Stadium,Not Out,100*,83,120.48,1772,2119,49.22,83.62
47,44,2/27/2011,1st,7,England,M Chinnaswamy Stadium,Bowled,8,5,160,1780,2124,48.11,83.8
48,45,3/6/2011,2nd,4,Ireland,M Chinnaswamy Stadium,Run Out,34,53,64.15,1814,2177,47.74,83.33
49,46,3/9/2011,2nd,5,Netherlands,ARun Out Jaitley Stadium,Bowled,12,20,60,1826,2197,46.82,83.11
50,47,3/12/2011,1st,7,South Africa,VidarBowledha Cricket Association Stadium,Caught,1,3,33.33,1827,2200,45.68,83.05
51,48,3/20/2011,1st,3,West Indies,MA ChidamBowledaram Stadium,Bowled,59,76,77.63,1886,2276,46,82.86
52,49,3/24/2011,2nd,4,Australia,Narendra Modi Stadium,Caught,24,33,72.73,1910,2309,45.48,82.72
